国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
外国人,2,13300,郡部,-3,-3,1,3,3,-2,-1,0,16,2,9,2,27
外国人,4,13303,瑞穂町,-1,-2,-3,6,4,1,0,-2,18,4,9,0,34
外国人,4,13305,日の出町,-2,0,4,-3,-1,-1,0,1,1,-2,0,4,1
外国人,4,13307,檜原村,0,0,0,0,0,0,0,1,0,0,0,-1,0
外国人,4,13308,奥多摩町,0,-1,0,0,0,-2,-1,0,-3,0,0,-1,-8
外国人,2,13350,島部,0,-1,0,1,-1,0,-2,0,2,0,0,0,-1
外国人,3,13360,大島支庁,1,0,-1,2,-1,1,-2,0,0,1,0,0,1
外国人,4,13361,大島町,1,0,-1,0,-1,1,-2,0,0,1,0,0,-1
外国人,4,13362,利島村,0,0,0,1,0,0,0,0,0,0,0,0,1
外国人,4,13363,新島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13364,神津島村,0,0,0,1,0,0,0,0,0,0,0,0,1
外国人,3,13380,三宅支庁,-1,0,0,1,0,-1,0,0,0,-1,0,0,-2
外国人,4,13381,三宅村,-1,0,0,1,0,-1,0,0,0,-1,0,0,-2
外国人,4,13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13400,八丈支庁,0,-1,1,-2,0,0,0,0,0,0,0,0,-2
外国人,4,13401,八丈町,0,-1,1,-2,0,0,0,0,0,0,0,0,-2
外国人,4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13420,小笠原支庁,0,0,0,0,0,0,0,0,2,0,0,0,2
外国人,4,13421,小笠原村,0,0,0,0,0,0,0,0,2,0,0,0,2
,,,,,,,,,,,,,,,,
人口の動き（令和7年中）,,,,,,,,,,,,,,,,
第11－１・２・３表　区市町村、月別都内間移動増減（総数、日本人、外国人）,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
