地域階層,地域コード,地域,年齢階層,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
4,13110,目黒区,1,10～14,10621,5449,5172,10362,5331,5031,259,118,141
4,13110,目黒区,1,15～19,10048,5169,4879,9769,5018,4751,279,151,128
4,13110,目黒区,1,20～24,13995,6810,7185,12946,6242,6704,1049,568,481
4,13110,目黒区,1,25～29,23897,11803,12094,22017,10812,11205,1880,991,889
4,13110,目黒区,1,30～34,22729,11036,11693,20814,10066,10748,1915,970,945
4,13110,目黒区,1,35～39,20619,9861,10758,18953,9004,9949,1666,857,809
4,13110,目黒区,1,40～44,22005,10467,11538,20803,9820,10983,1202,647,555
4,13110,目黒区,1,45～49,23216,11126,12090,22301,10594,11707,915,532,383
4,13110,目黒区,1,50～54,23534,10872,12662,22798,10459,12339,736,413,323
4,13110,目黒区,1,55～59,20259,9596,10663,19666,9241,10425,593,355,238
4,13110,目黒区,1,60～64,16789,8094,8695,16334,7844,8490,455,250,205
4,13110,目黒区,1,65～69,12277,5919,6358,11967,5759,6208,310,160,150
4,13110,目黒区,1,70～74,10540,4827,5713,10362,4754,5608,178,73,105
4,13110,目黒区,1,75～79,12351,5368,6983,12230,5309,6921,121,59,62
4,13110,目黒区,1,80～84,8996,3573,5423,8940,3553,5387,56,20,36
4,13110,目黒区,1,85～89,6271,2146,4125,6222,2129,4093,49,17,32
4,13110,目黒区,1,90～94,3705,1033,2672,3693,1029,2664,12,4,8
4,13110,目黒区,1,95～99,1190,228,962,1180,225,955,10,3,7
4,13110,目黒区,1,100以上,226,29,197,224,27,197,2,2,-
4,13110,目黒区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13111,大田区,0,総数,745048,370248,374800,710532,353077,357455,34516,17171,17345
4,13111,大田区,1,0～4,22520,11582,10938,21504,11048,10456,1016,534,482
4,13111,大田区,1,5～9,24437,12583,11854,23543,12114,11429,894,469,425
4,13111,大田区,1,10～14,26368,13392,12976,25448,12887,12561,920,505,415
4,13111,大田区,1,15～19,27225,13816,13409,26248,13311,12937,977,505,472
